City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,hithadhoo,100,MV,1582915174,76,-0.6,73.08,82.83,14.67
89,cockburn town,40,TC,1582914921,65,21.46,-71.14,82.4,10.29
90,avera,1,US,1582915174,34,33.19,-82.53,57.2,11.41
91,ontario,1,US,1582915054,14,34.06,-117.65,81.0,3.56
92,port lincoln,62,AU,1582914963,85,-34.73,135.87,61.72,7.65
93,kashary,100,RU,1582915174,81,49.04,41.01,37.51,21.79
94,san patricio,5,MX,1582915174,70,19.22,-104.7,84.2,4.68
95,saskylakh,0,RU,1582915174,74,71.92,114.08,-1.26,12.12
96,salamanca,85,ES,1582914973,43,40.83,-6.0,55.4,12.75
97,atuona,23,PF,1582915174,78,-9.8,-139.03,81.61,14.2
98,pedraza,18,CO,1582915174,32,10.19,-74.92,95.68,7.27
99,qaanaaq,98,GL,1582915174,92,77.48,-69.36,-17.41,4.05
100,talara,78,PE,1582915174,100,-4.58,-81.27,62.6,13.87
101,barrow,1,US,1582915174,76,71.29,-156.79,-9.4,16.11
102,severo-kurilsk,99,RU,1582915174,91,50.68,156.12,20.21,8.84
103,pangnirtung,20,CA,1582915174,67,66.15,-65.71,-23.8,3.36
104,deputatskiy,92,RU,1582915175,83,69.3,139.9,-0.29,5.7
105,zyryanka,49,RU,1582915175,99,65.75,150.85,-3.32,7.52
106,rawlins,1,US,1582915149,50,41.79,-107.24,35.6,24.16
107,haikou,40,CN,1582915175,94,20.05,110.34,69.8,4.47
108,kodiak,1,US,1582915175,62,57.79,-152.41,19.4,10.96
109,santa marta,20,CO,1582915175,66,11.24,-74.2,87.8,5.82
110,mount gambier,90,AU,1582915175,100,-37.83,140.77,55.4,4.7
111,kahului,40,US,1582914929,73,20.89,-156.47,69.8,16.11
112,moron,0,AR,1582915175,33,-34.65,-58.62,93.0,5.82
113,alice springs,14,AU,1582915175,34,-23.7,133.88,68.0,10.8
114,hermanus,57,ZA,1582915175,74,-34.42,19.23,69.01,10.0
115,harper,99,LR,1582914999,88,4.38,-7.72,81.64,3.76
116,kruisfontein,66,ZA,1582915175,77,-34.0,24.73,59.05,11.01
117,bengkulu,100,ID,1582915175,88,-3.8,102.27,76.01,3.29
118,east london,75,ZA,1582915175,93,-33.02,27.91,60.8,3.36
119,faanui,100,PF,1582915175,76,-16.48,-151.75,81.57,11.95
120,chau doc,50,VN,1582915090,77,10.7,105.12,72.64,4.47
121,belyy yar,78,RU,1582915175,68,53.6,91.39,24.8,6.71
122,manacapuru,75,BR,1582915175,88,-3.3,-60.62,80.6,4.7
123,tuktoyaktuk,5,CA,1582915176,73,69.45,-133.04,-31.0,5.82
124,naigarhi,69,IN,1582915176,52,24.78,81.78,66.58,6.85
125,bar harbor,90,US,1582915176,34,44.39,-68.2,35.01,16.11
126,kumbo,90,CM,1582915176,26,6.2,10.67,79.97,5.08
127,talnakh,40,RU,1582915176,72,69.49,88.4,10.4,20.13
128,yantal,0,RU,1582915176,97,56.85,105.25,1.92,2.89
129,exu,69,BR,1582915176,83,-7.51,-39.72,78.73,4.0
130,saint-augustin,100,CA,1582915176,93,51.23,-58.65,26.11,29.57
131,plettenberg bay,11,ZA,1582915176,78,-34.05,23.37,62.71,15.21
132,butwal,18,NP,1582915176,61,27.7,83.45,63.84,1.92
133,longyearbyen,20,SJ,1582914879,69,78.22,15.64,-13.0,4.7
134,odessa,99,UA,1582914929,86,46.48,30.73,37.4,6.71
135,labuan,75,MY,1582915176,94,5.28,115.24,80.6,8.05
136,vostok,59,RU,1582915176,93,46.49,135.88,7.95,5.03
137,leningradskiy,98,RU,1582915176,78,69.38,178.42,6.48,14.38
138,north bend,90,US,1582915176,100,43.41,-124.22,46.0,5.82
139,kungurtug,97,RU,1582915176,94,50.6,97.52,5.74,4.32
140,eyl,29,SO,1582915176,77,7.98,49.82,78.1,20.89
141,sola,71,VU,1582915176,75,-13.88,167.55,84.94,7.47
142,faya,0,SA,1582915176,31,18.39,42.45,66.2,4.7
143,cranbrook,75,CA,1582915176,87,49.5,-115.77,44.6,10.29
144,dharchula,55,IN,1582915176,50,29.85,80.53,35.56,8.59
145,cabedelo,40,BR,1582915177,66,-6.98,-34.83,87.8,11.41
146,saalfeld,100,DE,1582915177,74,50.65,11.37,39.0,10.29
147,torrington,75,US,1582915050,37,41.8,-73.12,39.99,12.75
148,pemangkat,100,ID,1582915177,90,1.17,108.97,76.68,9.22
149,westport,40,US,1582914934,29,41.14,-73.36,42.01,19.46
150,kvam,33,NO,1582915177,86,61.67,9.69,8.42,2.82
