City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
518,aswan,2,EG,1582872551,36,24.09,32.91,66.69,6.87
519,tanda,51,IN,1582872551,41,26.55,82.65,76.17,6.76
520,mandalgovi,96,MN,1582872551,57,45.76,106.27,21.04,12.19
521,benidorm,0,ES,1582872551,50,38.54,-0.13,64.99,8.05
522,ofunato,40,JP,1582872551,51,39.07,141.72,39.2,4.7
523,engen,75,DE,1582872552,96,47.85,8.77,36.0,3.36
524,malinovskiy,10,RU,1582872552,88,61.2,62.84,19.26,3.06
525,nawalgarh,61,IN,1582872552,21,27.85,75.27,83.82,5.01
526,manali,40,IN,1582872552,55,13.17,80.27,87.8,9.17
527,vysokogornyy,34,RU,1582872552,77,50.12,139.15,16.61,2.95
528,mana,34,GF,1582872552,92,5.66,-53.78,68.79,1.74
529,kemijarvi,0,FI,1582872552,90,66.71,27.43,10.49,5.17
530,north myrtle beach,1,US,1582872552,51,33.82,-78.68,41.0,4.7
531,port hardy,75,CA,1582872552,100,50.7,-127.42,42.8,4.7
532,coracao de jesus,92,BR,1582872553,94,-16.69,-44.37,68.85,2.04
533,pecos,1,US,1582872553,38,31.42,-103.49,39.2,4.7
534,wilmington,1,US,1582872553,51,34.23,-77.94,41.0,4.7
535,bagnes,81,CH,1582872553,80,46.08,7.22,33.8,1.12
536,lavumisa,100,SZ,1582872553,94,-27.31,31.89,69.91,3.51
537,aktau,92,KZ,1582872471,56,43.65,51.2,44.6,26.84
538,saint-augustin,100,CA,1582872553,84,51.23,-58.65,4.51,30.58
539,capitan bado,0,PY,1582872553,79,-23.27,-55.53,64.71,4.21
540,zaykovo,99,RU,1582872553,96,57.56,62.76,31.3,7.67
541,ratnagiri,11,IN,1582872554,17,16.98,73.3,97.5,6.04
542,nikolayevsk-na-amure,0,RU,1582872554,77,53.14,140.73,13.03,4.21
543,laguna,1,US,1582872554,70,38.42,-121.42,59.0,0.69
544,mayo,40,US,1582872517,47,38.89,-76.51,34.0,10.29
